feature,gain_rank,gain_importance_mean,gain_importance_pct,split_importance_mean,count_flag_1,count_flag_0,coverage_pct,pit_rate_when_1,pit_rate_when_0,base_rate,diff_1_vs_0,diff_1_vs_base,lift_vs_base,is_outlier_flag
Cumulative_Degradation_lag1_by_driver_race,149,132.1491135597229,0.0006400584372355327,6.8,,,,,,,,,,0
LapTime_s_stint_expanding_mean_prev,150,130.4920331954956,0.0006320324411487584,6.8,,,,,,,,,,0
Position_Change_stint_expanding_mean_prev,151,129.0928153514862,0.0006252553908722615,6.2,,,,,,,,,,0
Cumulative_Degradation_diff_lag1_by_driver_race,152,128.2682722091675,0.0006212617523158647,4.6,,,,,,,,,,0
Position_lag3_by_driver_race,153,125.3322627067566,0.0006070413190250087,5.6,,,,,,,,,,0
LapTime_s_roll5_std_by_driver_race,154,118.58397648334503,0.0005743562905914063,5.8,,,,,,,,,,0
LapTime_Delta_diff_lag1_by_driver_race,155,117.18097267150878,0.0005675609031457422,5.4,,,,,,,,,,0
Position_Change_roll5_std_by_driver_race,156,115.99615044593811,0.0005618222686466318,4.8,,,,,,,,,,0
Position_Change_stint_diff_prev,157,113.18165969848633,0.0005481904061172343,2.8,,,,,,,,,,0
TyreLife_roll3_mean_by_driver_race,158,111.07851848602294,0.0005380039338702859,4.0,,,,,,,,,,0
Cumulative_Degradation_roll3_max_by_driver_race,159,109.98723592758179,0.0005327183546475199,5.2,,,,,,,,,,0
Position_Change_diff_lag1_by_driver_race,160,108.31457996368408,0.0005246169188266792,2.8,,,,,,,,,,0
Cumulative_Degradation_roll5_max_by_driver_race,161,105.12748690247535,0.0005091803733279494,4.8,,,,,,,,,,0
TyreLife_lag2_by_driver_race,162,104.26667728424073,0.0005050110796856158,4.0,,,,,,,,,,0
LapTime_Delta_roll5_min_by_driver_race,163,103.7568500161171,0.0005025417536666577,5.2,,,,,,,,,,0
LapTime_Delta_lag1_by_driver_race,164,101.23639771938323,0.0004903340534807227,5.0,,,,,,,,,,0
Position_roll3_mean_by_driver_race,165,100.88702306747436,0.000488641872673097,3.8,,,,,,,,,,0
Cumulative_Degradation_since_stint_start,166,99.91171035766601,0.00048391798832729885,3.0,,,,,,,,,,0
LapTime_s_roll3_max_by_driver_race,167,99.37387981414795,0.00048131302967181663,3.4,,,,,,,,,,0
TyreLife_x_Degradation_since_stint_start,168,99.14678983688354,0.00048021312932406275,3.4,,,,,,,,,,0
LapTime_Delta_roll5_mean_by_driver_race,169,98.3698299407959,0.0004764499581344218,3.6,,,,,,,,,,0
Position_lag1_by_driver_race,170,98.14722275733948,0.0004753717700019216,4.2,,,,,,,,,,0
LapTime_Delta_roll3_min_by_driver_race,171,97.98640022277831,0.00047459283310729796,4.0,,,,,,,,,,0
LapTime_s_roll3_std_by_driver_race,172,97.18416366577148,0.00047070723551879084,4.6,,,,,,,,,,0
LapTime_Delta_stint_expanding_mean_prev,173,90.26663017272949,0.000437202465355653,4.4,,,,,,,,,,0
Position_roll5_std_by_driver_race,174,85.53632916212082,0.0004142914598184458,5.4,,,,,,,,,,0
LapTime_Delta_roll3_mean_by_driver_race,175,77.86191902160644,0.00037712079079975255,3.6,,,,,,,,,,0
LapTime_Delta_roll3_max_by_driver_race,176,77.55624132156372,0.0003756402542625274,3.6,,,,,,,,,,0
Position_roll3_std_by_driver_race,177,75.41576566696168,0.00036527295428206915,4.8,,,,,,,,,,0
LapTime_Delta_roll3_std_by_driver_race,178,74.79284210205078,0.00036225585130851144,3.6,,,,,,,,,,0
LapTime_s_roll3_mean_by_driver_race,179,74.67561855316163,0.0003616880841893223,2.0,,,,,,,,,,0
TyreLife_lag1_by_driver_race,180,73.27120342254639,0.0003548858610830336,3.4,,,,,,,,,,0
Position_lag2_by_driver_race,181,67.77200152873993,0.00032825071783175696,3.6,,,,,,,,,,0
LapTime_Delta_since_stint_start,182,66.81470662504435,0.00032361410193984617,3.6,,,,,,,,,,0
LapTime_Delta_roll5_max_by_driver_race,183,66.6309760093689,0.00032272421075878725,3.2,,,,,,,,,,0
Position_Change_roll3_std_by_driver_race,184,63.222717952728274,0.000306216462302019,3.2,,,,,,,,,,0
Position_Change_roll3_max_by_driver_race,185,62.63659439086914,0.000303377598529687,2.6,,,,,,,,,,0
Cumulative_Degradation_stint_start,186,57.848886823654176,0.00028018854685264016,2.6,,,,,,,,,,0
Position_roll3_max_by_driver_race,187,57.827806282043454,0.000280086444173659,2.6,,,,,,,,,,0
LapTime_Delta_roll5_std_by_driver_race,188,57.43689594268799,0.000278193087085085,3.0,,,,,,,,,,0
RaceProgress_x_LapDelta_since_stint_start,189,55.5219539642334,0.00026891814957615923,2.0,,,,,,,,,,0
LapTime_s_lag1_by_driver_race,190,54.619722557067874,0.00026454823131534397,3.0,,,,,,,,,,0
Cumulative_Degradation_roll3_std_by_driver_race,191,53.635491943359376,0.00025978115349302525,2.2,,,,,,,,,,0
LapTime_s_roll5_max_by_driver_race,192,52.928243446350095,0.00025635562640821165,2.0,,,,,,,,,,0
Cumulative_Degradation_roll5_std_by_driver_race,193,52.00604200363159,0.00025188898415581394,3.2,,,,,,,,,,0
TyreLife_roll3_min_by_driver_race,194,50.240159606933595,0.00024333601019536853,2.2,,,,,,,,,,0
