feature,split_importance_fold_1,gain_importance_fold_1,split_importance_fold_2,gain_importance_fold_2,split_importance_fold_3,gain_importance_fold_3,split_importance_fold_4,gain_importance_fold_4,split_importance_fold_5,gain_importance_fold_5,split_importance_mean,gain_importance_mean,gain_importance_pct,gain_rank
LapTime_s_lag3_by_driver_race,8,237.02760124206543,11,277.24876070022583,9,282.6392550468445,11,216.11189794540405,7,122.58364200592041,9.2,227.12223138809205,0.0011000565691877354,118
LapTime_s_roll5_min_by_driver_race,11,332.01819705963135,6,160.73698711395264,5,104.7955412864685,2,108.55539608001709,7,423.3612632751465,6.2,225.8934769630432,0.0010941051510067307,119
LapTime_Delta_stint_diff_prev,15,288.56357049942017,3,68.12835025787354,13,312.4880938529968,4,87.49100112915039,9,364.3923568725586,8.8,224.2126745223999,0.0010859642580829682,120
LapTime_Delta_lag2_by_driver_race,20,420.2654104232788,9,137.72855138778687,6,265.22499656677246,7,173.56616020202637,4,105.7466287612915,9.2,220.5063494682312,0.0010680128351929009,121
LapTime_s_since_stint_start,10,269.2406463623047,11,250.58435821533203,6,340.8350076675415,6,112.20316123962402,6,125.26700115203857,7.8,219.62603492736815,0.0010637490703130413,122
LapTime_Delta_minus_roll3_mean_by_driver_race,11,304.38369941711426,3,81.42389965057373,8,162.45369720458984,8,349.812949180603,8,188.31891012191772,7.6,217.27863111495972,0.0010523795228733466,123
clipped_LapTime_s,5,177.06166315078735,7,170.7691993713379,7,447.58169174194336,4,107.86600685119629,4,182.73630142211914,5.4,217.2029725074768,0.0010520130737253768,124
LapTime_s_roll5_mean_by_driver_race,9,208.587100148201,7,408.55979919433594,4,267.7425937652588,4,154.01930046081543,2,45.73950004577637,5.2,216.9296587228775,0.0010506892903935537,125
TyreLife_roll5_min_by_driver_race,4,212.82009506225586,5,409.7987003326416,1,28.480600357055664,5,385.9199028015137,1,31.121700286865234,3.2,213.6281997680664,0.0010346988187037178,126
Position_pct_change_lag1_by_driver_race,11,238.0497875213623,13,352.3529987335205,7,221.16950035095215,2,65.2125015258789,5,174.59219932556152,7.6,210.27539749145507,0.0010184596678859735,127
Cumulative_Degradation_roll3_min_by_driver_race,13,294.690372467041,4,59.6859393119812,8,205.0527000427246,14,347.83419704437256,4,127.81909942626953,8.6,207.0164616584778,0.0010026751550722447,128
RaceProgress_pct_change_lag1_by_driver_race,14,295.98573112487793,5,221.26115036010742,5,142.40170097351074,4,121.52020072937012,5,182.43939876556396,6.6,192.72163639068603,0.0009334387956673607,129
Position_stint_expanding_mean_prev,18,351.86612367630005,3,65.84100151062012,12,233.3126802444458,11,242.4953594505787,4,60.58599853515625,9.6,190.8202326834202,0.0009242294301813304,130
Cumulative_Degradation_minus_roll3_mean_by_driver_race,18,507.0336446762085,2,48.10109901428223,5,168.94160270690918,2,74.58580303192139,3,132.80309677124023,6.0,186.2930492401123,0.0009023022156753272,131
Cumulative_Degradation_lag2_by_driver_race,9,135.75850009918213,5,135.52850246429443,7,175.89974451065063,11,327.9422092437744,7,138.3837113380432,7.8,182.70253353118898,0.0008849117102711085,132
Cumulative_Degradation_roll3_mean_by_driver_race,7,247.99409866333008,4,146.38079833984375,6,221.79444408416748,3,80.24389934539795,8,195.0122464299202,5.6,178.28509737253188,0.0008635160519262645,133
Cumulative_Degradation_roll5_mean_by_driver_race,11,201.23754978179932,6,118.51140117645264,8,242.87640476226807,11,270.55513206124306,2,33.996599197387695,7.6,173.43541739583014,0.0008400268396011488,134
Position_diff_lag1_by_driver_race,5,213.62439918518066,5,210.3163013458252,4,96.19089889526367,3,81.66460132598877,7,262.98170471191406,4.8,172.95558109283448,0.0008377027735067858,135
Cumulative_Degradation_minus_roll5_mean_by_driver_race,10,210.94234704971313,10,275.4635992050171,5,185.80459594726562,6,113.60598087310791,2,52.25460147857666,6.6,167.61422491073608,0.0008118321490391674,136
Position_roll5_mean_by_driver_race,6,198.45709800720215,10,353.6179037094116,5,59.55610990524292,5,133.87070083618164,3,79.47719955444336,5.8,164.99580240249634,0.0007991499344294654,137
TyreLife_lag3_by_driver_race,5,111.90830039978027,2,27.080360412597656,7,386.7539939880371,3,87.88609886169434,8,206.9689974784851,5.0,164.1195502281189,0.000794905845443558,138
Stint_Compound_frequency,1,16.47719955444336,4,579.5713996887207,2,34.293639183044434,3,84.67959976196289,1,9.26218032836914,2.2,144.85680370330812,0.0007016075772568212,139
TyreLife_roll3_max_by_driver_race,5,84.19239765405655,4,421.4646053314209,2,44.85010051727295,5,118.71870231628418,1,55.05509948730469,3.4,144.85618106126785,0.0007016045615173997,140
LapTime_s_lag2_by_driver_race,9,143.8322901725769,5,86.77276039123535,4,65.18249893188477,7,106.9189201593399,4,315.0037422180176,5.8,143.5420423746109,0.0006952395884091068,141
